user_id,user_name,user_type,terminal_id,area_id,scenario_seed
USR00478,模拟用户478,居民,TERM00038,AREA0011,
USR00479,模拟用户479,居民,TERM00040,AREA0028,
USR00480,模拟用户480,居民,TERM00266,AREA0003,
USR00481,模拟用户481,居民,TERM00102,AREA0025,
USR00482,模拟用户482,工商业,TERM00260,AREA0005,
USR00483,模拟用户483,居民,TERM00157,AREA0005,
USR00484,模拟用户484,居民,TERM00059,AREA0008,
USR00485,模拟用户485,居民,TERM00144,AREA0009,
USR00486,模拟用户486,居民,TERM00277,AREA0047,SC-15
USR00487,模拟用户487,工商业,TERM00108,AREA0044,
USR00488,模拟用户488,三相工业,TERM00250,AREA0015,
USR00489,模拟用户489,工商业,TERM00019,AREA0006,
USR00490,模拟用户490,光伏,TERM00087,AREA0014,
USR00491,模拟用户491,工商业,TERM00145,AREA0033,SC-11
USR00492,模拟用户492,光伏,TERM00283,AREA0027,SC-11
USR00493,模拟用户493,工商业,TERM00210,AREA0020,
USR00494,模拟用户494,居民,TERM00211,AREA0016,
USR00495,模拟用户495,居民,TERM00230,AREA0034,
USR00496,模拟用户496,居民,TERM00260,AREA0005,SC-10
USR00497,模拟用户497,居民,TERM00065,AREA0040,
USR00498,模拟用户498,居民,TERM00105,AREA0045,SC-12
USR00499,模拟用户499,工商业,TERM00073,AREA0015,
USR00500,模拟用户500,居民,TERM00026,AREA0013,
